design,seed,rank_bin,true_proposals,true_promotions
telescoping-fixed,52001039,1-5,5,5
telescoping-fixed,52001039,6-10,4,4
telescoping-fixed,52001039,11-20,7,5
telescoping-fixed,52001039,21-35,0,0
telescoping-fixed,52001039,36-50,0,0
campaign75-fixed-daily,52001039,1-5,5,5
campaign75-fixed-daily,52001039,6-10,4,4
campaign75-fixed-daily,52001039,11-20,7,6
campaign75-fixed-daily,52001039,21-35,0,0
campaign75-fixed-daily,52001039,36-50,0,0
campaign75-geometric-daily,52001039,1-5,5,5
campaign75-geometric-daily,52001039,6-10,4,4
campaign75-geometric-daily,52001039,11-20,7,7
campaign75-geometric-daily,52001039,21-35,0,0
campaign75-geometric-daily,52001039,36-50,0,0
telescoping-fixed,52001040,1-5,5,5
